id,gender,email
B00001,1,0
B00002,1,0
B00003,0,0
B00004,1,0
B00005,0,0
B00006,0,0
B00007,0,0
B00008,1,0
B00009,1,0
B00010,0,0
B00011,0,0
B00012,0,0
B00013,0,0
B00014,0,0
B00015,1,0
B00016,1,0
B00017,1,0
B00018,1,0
B00019,0,0
B00020,1,0
B00021,0,0
B00022,1,0
B00023,0,0
B00024,1,0
B00025,0,0
B00026,1,0
B00027,0,0
B00028,1,0
B00029,0,0
B00030,1,0
B00031,0,0
B00032,1,0
B00033,0,0
B00034,1,0
B00035,1,0
B00036,1,0
B00037,1,0
B00038,0,0
B00039,1,0
B00040,1,0
B00041,1,0
B00042,0,0
B00043,0,0
B00044,0,0
B00045,1,0
B00046,0,0
B00047,1,0
B00048,0,0
B00049,1,0
B00050,1,0
B00051,0,0
B00052,1,0
B00053,0,0
B00054,0,0
B00055,1,0
B00056,1,0
B00057,1,0
B00058,1,0
B00059,0,0
B00060,0,0
B00061,0,0
B00062,1,0
B00063,0,0
B00064,0,0
B00065,0,0
B00066,0,0
B00067,0,0
B00068,0,0
B00069,0,0
B00070,1,0
B00071,0,0
B00072,0,0
B00073,1,0
B00074,1,0
B00075,0,0
B00076,0,0
B00077,0,0
B00078,1,0
B00079,0,0
B00080,0,0
B00081,1,0
B00082,1,0
B00083,0,0
B00084,0,0
B00085,1,0
B00086,1,0
B00087,0,0
B00088,0,0
B00089,1,0
B00090,1,0
B00091,0,0
B00092,0,0
B00093,1,0
B00094,1,0
B00095,0,0
B00096,1,0
B00097,0,0
B00098,0,0
B00099,1,0
B00100,1,0