id,name,guru,genle,genle2,genle3,station,distance,price_lunch,price_dinner,tel,tabeloog,tabelog,score,times,other,lat,lon,url
A00001,人間関係 cafe de copain,1,カフェ,0,0,渋谷,390,1,1,03-3496-5001,3.5,6,6,3,0,0,0,0
A00002,菱田屋,1,定食,0,0,駒場東大前,209,2,2,03-3466-8371,3.69,6.38,6.38,3,0,0,0,0
A00003,ルーシー,1,カレー,0,0,駒場東大前,49,1,1,03-5790-2217,3.22,5.44,5.44,3,0,0,0,0
A00004,天馬屋 下北沢店,1,カレー,0,0,下北沢,96,2,1,03-5787-6810,3.39,5.78,5.78,3,0,0,0,0
A00005,千里眼,1,ラーメン,0,0,駒場東大前,850,1,1,03-3481-5773,3.76,6.52,6.52,3,0,0,0,0
A00006,山手ラーメン,1,ラーメン,つけ麺,0,駒場東大前,447,1,1,03-5453-7290,3.52,6.04,6.04,3,0,0,0,0
A00007,油そば 東京油組総本店 下北沢組,1,油そば,0,0,下北沢,131,1,2,03-5779-6585,3.01,5.02,5.02,3,0,0,0,0
A00008,ティラミスホームメイド,1,洋菓子,0,0,駒場東大前,93,1,1,03-3460-3960,3.09,5.18,5.18,3,0,0,0,0
A00009,茶房 武蔵野文庫,1,カフェ,カレー,0,吉祥寺,343,2,2,0422-22-9107,3.58,6.16,6.16,3,0,0,0,0
A00010,コックマン,1,ビストロ,0,0,渋谷,390,1,4,03-6416-9458,3.58,6.16,6.16,3,0,0,0,0
A00011,サハラ,1,カレー,0,0,下北沢,152,2,2,03-3413-8477,3.06,5.12,5.12,3,0,0,0,0
A00012,ロイヤルガーデンカフェ 渋谷店,1,カフェ,0,0,渋谷,542,2,3,050-3468-3432,3.45,5.9,5.9,3,0,0,0,0
A00013,伝説のすた丼屋 下北沢店,1,丼,定食,0,下北沢,47,1,3,03-6450-9312,3.04,5.08,5.08,3,0,0,0,0
A00014,ムスカン,1,カレー,0,0,駒場東大前,280,2,2,03-3469-3686,3.18,5.36,5.36,3,0,0,0,0
A00015,太田屋,0,弁当,0,0,駒場東大前,203,1,0,050-5594-6835,3.04,5.08,5.08,3,0,35.657641,139.685787,https://tabelog.com/tokyo/A1318/A131801/13090273/
A00016,吉祥寺餃子バル あわ屋,1,居酒屋,餃子,0,吉祥寺,370,0,4,050-3491-3803,3.41,5.82,5.82,3,0,0,0,0
A00017,Sajilo Cafe,0,カレー,0,0,吉祥寺,508,2,2,0422-77-9468,3.65,6.3,6.3,3,0,35.7044156,139.5831171,https://tabelog.com/tokyo/A1320/A132001/13049661/
A00018,カレーハウス チリチリ,1,カレー,0,0,渋谷,718,2,1,03-3499-4678,3.82,6.64,6.64,3,!オススメ!,0,0,0
A00019,旧ヤム邸 シモキタ荘,1,カレー,0,0,下北沢,343,2,2,	03-6450-8986,3.8,6.6,6.6,3,!オススメ!,0,0,0
A00020,ムルギー,1,カレー,0,0,神泉,327,2,2,03-3461-8809,3.8,6.6,6.6,3,0,0,0,0
A00021,がブリチキン。下北沢店,1,居酒屋,唐揚げ,0,下北沢,307,0,3,050-3467-6923,3.04,5.1072,5.1072,3,0,0,0,0
A00022,マジックスパイス 東京下北沢店,1,カレー,0,0,下北沢,315,2,2,03-5454-8801,3.64,6.1152,6.1152,3,0,0,0,0
A00023,J.S. CURRY 渋谷文化村通り店,1,カレー,0,0,神泉,360,1,2,03-5459-5251,3.38,5.6784,5.6784,3,0,0,0,0
A00024,純手打ち 麺と未来,0,ラーメン,0,0,下北沢,260,1,1,ー,3.73,6.2664,6.2664,3,!オススメ!,35.663505,139.668749,https://tabelog.com/tokyo/A1318/A131802/13221486/
A00025,まぜそば七,1,ラーメン,油そば,0,渋谷,189,1,1,03-3780-1176,3.38,5.6784,5.6784,3,0,0,0,0
A00026,こなな 下北沢店,1,パスタ,0,0,下北沢,52,1,1,03-5787-5671,3.03,5.0904,5.0904,3,0,0,0,0
A00027,ビオディナミ 吉祥寺店,1,イタリアン,0,0,吉祥寺,97,1,3,050-3469-0412,3.36,5.6448,5.6448,3,0,0,0,0
A00028,喜楽,1,ラーメン,中華,0,神泉,352,1,1,03-3461-2032,3.78,6.3504,6.3504,3,!オススメ!,0,0,0
A00029,ポニピリカ,1,スープカレー,0,0,下北沢,219,2,2,03-6804-8802,3.56,5.9808,5.9808,3,0,0,0,0
A00030,ロクシタンカフェ 渋谷店,1,カフェ,0,0,渋谷,179,2,2,03-5428-1563,3.23,5.4264,5.4264,3,0,0,0,0
A00031,Kitchen & Bar Oaks,1,定食,0,0,駒場東大前,81,2,0,03-3485-6950,3.07,5.1576,5.1576,3,0,0,0,0
A00032,餃子屋台 渋谷店,1,ギョウザ,中華,居酒屋,渋谷,241,2,3,03-3462-8810,3.22,5.4096,5.4096,3,0,0,0,0
A00033,東京和茶房,1,カフェ,0,0,駒場東大前・神泉,950,1,1,03-6407-0622,3.02,5.0736,5.0736,3,0,0,0,0
A00034,WIRED CAFE,1,カフェ,0,0,渋谷,390,2,6,03-5459-1270,3.22,5.4096,5.4096,3,0,0,0,0
A00035,宇田川カフェ,0,イタリアン,カフェ,0,渋谷,352,2,4,03-6416-9087,3.18,5.3424,5.3424,3,0,35.6614311,139.6958476,https://tabelog.com/tokyo/A1303/A130301/13020211/
A00036,印度,1,カレー,0,0,下北沢,141,1,2,03-3465-7388,3.21,5.3928,5.3928,3,0,0,0,0
A00037,中国ラーメン揚州商人 渋谷センター街店,1,中華,ラーメン,0,渋谷,850,1,2,03-3461-8899,3.06,5.1408,5.1408,3,0,0,0,0
A00038,道玄坂 マンモス,1,つけ麺,ラーメン,0,神泉,268,1,1,03-5459-3956,3.59,6.0312,6.0312,3,0,0,0,0
A00039,Bleu Table,1,イタリアン,0,0,駒場東大前,171,1,2,03-5790-9190,3.06,6.0312,6.0312,3,0,0,0,0